"filename", "language", "Dart", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firestore_user_info.dart", "Dart", -6, 0, -1, -7
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_comment.dart", "Dart", 18, 0, 4, 22
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_reply.dart", "Dart", 44, -112, 9, -59
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\firestore_post.dart", "Dart", 0, 0, 1, 1
"d:\updated_instagram_day_4_6\instagram\lib\data\models\comment.dart", "Dart", 23, 43, 9, 75
"d:\updated_instagram_day_4_6\instagram\lib\data\models\reply_comment.dart", "Dart", 0, 8, 0, 8
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\comment\firestore_comment_repo_impl.dart", "Dart", -1, 0, 2, 1
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories\post\comment\firestore_reply_repo_impl.dart", "Dart", 46, -76, 5, -25
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", -1, 0, 0, -1
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\reply_repository.dart", "Dart", 7, -16, 0, -9
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\get_replies_of_this_comment.dart", "Dart", 14, -22, 3, -5
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\put_like_on_this_reply.dart", "Dart", 13, -22, 3, -6
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\likes\remove_like_on_this_reply.dart", "Dart", 13, -22, 3, -6
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\postUseCase\comments\replies\reply_on_this_comment.dart", "Dart", 12, -20, 3, -5
"d:\updated_instagram_day_4_6\instagram\lib\injector.dart", "Dart", 14, -15, 4, 3
"d:\updated_instagram_day_4_6\instagram\lib\main.dart", "Dart", 0, -10, 0, -10
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\replyLikes\reply_likes_cubit.dart", "Dart", 36, -56, 7, -13
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\replyLikes\reply_likes_state.dart", "Dart", 13, -19, 6, 0
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\reply_info_cubit.dart", "Dart", 39, -50, 6, -5
"d:\updated_instagram_day_4_6\instagram\lib\presentation\cubit\postInfoCubit\commentsInfo\repliesInfo\reply_info_state.dart", "Dart", 16, -23, 7, 0
"d:\updated_instagram_day_4_6\instagram\lib\presentation\pages\comments_page.dart", "Dart", 76, -18, 4, 62
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\commentator.dart", "Dart", 121, 76, 4, 201
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\multi_bloc_provider.dart", "Dart", 6, -6, 1, 1
"d:\updated_instagram_day_4_6\instagram\lib\presentation\widgets\try.dart", "Dart", 0, 52, 2, 54
"Total", "-", 503, -308, 82, 277
