Date : 2022-04-26 02:36:59
Directory : d:\updated_instagram_day_4_6\instagram
Total : 289 files,  14210 codes, 750 comments, 1934 blanks, all 16894 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        201 |     13,100 |        520 |      1,711 |     15,331 |
| C++        |         11 |        405 |         80 |        132 |        617 |
| JSON       |          6 |        221 |          0 |          3 |        224 |
| XML        |         55 |        178 |         46 |         13 |        237 |
| Groovy     |          3 |         91 |          3 |         25 |        119 |
| YAML       |          2 |         85 |         82 |         26 |        193 |
| HTML       |          1 |         80 |         18 |          7 |        105 |
| Markdown   |          6 |         18 |          0 |          9 |         27 |
| CMake      |          1 |         12 |          0 |          4 |         16 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                      |        289 |     14,210 |        750 |      1,934 |     16,894 |
| android                                                                                                                                |         13 |        201 |         48 |         37 |        286 |
| android\app                                                                                                                            |          9 |        159 |         47 |         26 |        232 |
| android\app\src                                                                                                                        |          7 |         63 |         44 |         10 |        117 |
| android\app\src\debug                                                                                                                  |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                   |          5 |         55 |         38 |          8 |        101 |
| android\app\src\main\res                                                                                                               |          4 |         26 |         32 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                                      |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                  |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\values                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                         |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                 |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                 |         48 |         56 |          0 |          1 |         57 |
| assets\3d_caractars                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| assets\3d_caractars\gif                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets\icons                                                                                                                           |         46 |         54 |          0 |          1 |         55 |
| assets\splash_gif                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| ios                                                                                                                                    |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                                             |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                                             |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                          |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                        |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                  |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                    |        204 |     13,091 |        510 |      1,704 |     15,305 |
| lib\config                                                                                                                             |          2 |         40 |          7 |          5 |         52 |
| lib\config\routes                                                                                                                      |          1 |         26 |          7 |          3 |         36 |
| lib\config\themes                                                                                                                      |          1 |         14 |          0 |          2 |         16 |
| lib\core                                                                                                                               |          9 |        241 |         38 |         43 |        322 |
| lib\core\resources                                                                                                                     |          5 |        158 |          0 |         28 |        186 |
| lib\core\usecase                                                                                                                       |          1 |         20 |          0 |          4 |         24 |
| lib\core\utility                                                                                                                       |          1 |          1 |          0 |          0 |          1 |
| lib\data                                                                                                                               |         20 |      1,133 |         16 |        157 |      1,306 |
| lib\data\datasourses                                                                                                                   |          7 |        427 |         11 |         74 |        512 |
| lib\data\datasourses\remote                                                                                                            |          7 |        427 |         11 |         74 |        512 |
| lib\data\datasourses\remote\post                                                                                                       |          3 |        202 |         11 |         39 |        252 |
| lib\data\datasourses\remote\post\comment                                                                                               |          2 |        125 |          0 |         24 |        149 |
| lib\data\datasourses\remote\story                                                                                                      |          1 |         42 |          0 |          6 |         48 |
| lib\data\models                                                                                                                        |          7 |        304 |          0 |         37 |        341 |
| lib\data\repositories_impl                                                                                                             |          6 |        402 |          5 |         46 |        453 |
| lib\data\repositories_impl\post                                                                                                        |          3 |        174 |          0 |         22 |        196 |
| lib\data\repositories_impl\post\comment                                                                                                |          2 |        109 |          0 |         15 |        124 |
| lib\domain                                                                                                                             |         46 |        527 |          0 |        159 |        686 |
