"filename", "language", "YAML", "Dart", "Markdown", "C++", "Groovy", "JSON", "XML", "CMake", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\.github\workflows\ci.yml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 8, 9, 57
"d:\updated_instagram_day_4_6\instagram\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 19, 0, 0, 0, 0, 0, 0, 0, 2, 2, 23
"d:\updated_instagram_day_4_6\instagram\.github\workflows\releases.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 6, 3, 37
"d:\updated_instagram_day_4_6\instagram\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 1, 0, 0, 0, 0, -1, 0
"d:\updated_instagram_day_4_6\instagram\android\app\google-services.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"d:\updated_instagram_day_4_6\instagram\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\check-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\share-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\translations\ar.json", "JSON", 0, 0, 0, 0, 0, 90, 0, 0, 0, 0, 90
"d:\updated_instagram_day_4_6\instagram\assets\translations\en.json", "JSON", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 92
"d:\updated_instagram_day_4_6\instagram\lib\config\routes\app_routes.dart", "Dart", 0, -26, 0, 0, 0, 0, 0, 0, -7, -2, -35
"d:\updated_instagram_day_4_6\instagram\lib\config\themes\app_theme.dart", "Dart", 0, 69, 0, 0, 0, 0, 0, 0, 0, 1, 70
"d:\updated_instagram_day_4_6\instagram\lib\core\app_prefs.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 15, 75
"d:\updated_instagram_day_4_6\instagram\lib\core\functions\compress_image.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 3, 21
"d:\updated_instagram_day_4_6\instagram\lib\core\functions\date_of_now.dart", "Dart", 0, 60, 0, 0, 0, 0, 0, 0, 0, 9, 69
"d:\updated_instagram_day_4_6\instagram\lib\core\functions\image_picker.dart", "Dart", 0, 36, 0, 0, 0, 0, 0, 0, 0, 4, 40
"d:\updated_instagram_day_4_6\instagram\lib\core\functions\toast_show.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\updated_instagram_day_4_6\instagram\lib\core\globall.dart", "Dart", 0, -61, 0, 0, 0, 0, 0, 0, -38, -11, -110
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\assets_manager.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, -2, 0
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\color_manager.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\langauge_manager.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\strings_manager.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 15, 57
"d:\updated_instagram_day_4_6\instagram\lib\core\resources\styles_manager.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"d:\updated_instagram_day_4_6\instagram\lib\core\use_case\use_case.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 4, 24
"d:\updated_instagram_day_4_6\instagram\lib\core\usecase\usecase.dart", "Dart", 0, -20, 0, 0, 0, 0, 0, 0, 0, -4, -24
"d:\updated_instagram_day_4_6\instagram\lib\core\utility\injector.dart", "Dart", 0, 208, 0, 0, 0, 0, 0, 0, 46, 45, 299
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firebase_auth.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\firestore_user_info.dart", "Dart", 0, -143, 0, 0, 0, 0, 0, 0, 0, -20, -163
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_comment.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\comment\firestore_reply.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\post\firestore_post.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, -11, -1, 5
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\story\firestore_story.dart", "Dart", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\user\firestore_user_info.dart", "Dart", 0, 142, 0, 0, 0, 0, 0, 0, 0, 20, 162
"d:\updated_instagram_day_4_6\instagram\lib\data\datasourses\remote\user\message.dart", "Dart", 0, 50, 0, 0, 0, 0, 0, 0, 0, 7, 57
"d:\updated_instagram_day_4_6\instagram\lib\data\models\comment.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, -3, -2
"d:\updated_instagram_day_4_6\instagram\lib\data\models\message.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\data\models\post.dart", "Dart", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\updated_instagram_day_4_6\instagram\lib\data\models\user_personal_info.dart", "Dart", 0, 19, 0, 0, 0, 0, 0, 0, 1, 1, 21
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\firebase_auth_repository_impl.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\firestore_story_repo_impl.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\firestore_user_repo_impl.dart", "Dart", 0, 31, 0, 0, 0, 0, 0, 0, -5, 2, 28
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\post\comment\firestore_comment_repo_impl.dart", "Dart", 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -4
"d:\updated_instagram_day_4_6\instagram\lib\data\repositories_impl\post\firestore_post_repo_impl.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\updated_instagram_day_4_6\instagram\lib\domain\entities\unregistered_user.dart", "Dart", 0, -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\comment_repository.dart", "Dart", 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\comment\reply_repository.dart", "Dart", 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\post\post_repository.dart", "Dart", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\story_repository.dart", "Dart", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\lib\domain\repositories\user_repository.dart", "Dart", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\auth\log_in_auth_usecase.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\auth\sign_out_auth_usecase.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\auth\sign_up_auth_usecase.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\definition.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\follow\follow_this_user.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\follow\remove_this_follower.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\add_comment_use_case.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\getComment\get_all_comment.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\put_like.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\remove_like.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\get_replies_of_this_comment.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\likes\put_like_on_this_reply.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\likes\remove_like_on_this_reply.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\comments\replies\reply_on_this_comment.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\create_post.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\getPostInfo\get_all_posts.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\getPostInfo\get_post_info.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\getPostInfo\get_specific_users_posts.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\likes\put_like_on_this_post.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\post\likes\remove_the_like_on_this_post.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\create_story.dart", "Dart", 0, 13, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\delete_story.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 4, 14
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\get_specific_stories.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\story\get_stories_info.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\add_new_user_usecase.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\add_post_to_user.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\add_story_to_user.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 4, 18
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\getUserInfo\get_followers_and_followings_usecase.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\getUserInfo\get_specific_users_usecase.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\getUserInfo\get_user_from_user_name.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\getUserInfo\get_user_info_usecase.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\message\add_message.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 4, 22
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\message\delete_message.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\message\get_Chat_users_info.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\message\get_messages.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\search_about_user.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\update_user_info.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 4, 15
"d:\updated_instagram_day_4_6\instagram\lib\domain\use_cases\user\upload_profile_image_usecase.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 4, 20
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\log_in_auth_usecase.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -4, -16
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\sign_out_auth_usecase.dart", "Dart", 0, -10, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\authUsecase\sign_up_auth_usecase.dart", "Dart", 0, -12, 0, 0, 0, 0, 0, 0, 0, -3, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\definition.md", "Markdown", 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_new_user_usecase.dart", "Dart", 0, -11, 0, 0, 0, 0, 0, 0, 0, -4, -15
"d:\updated_instagram_day_4_6\instagram\lib\domain\usecases\firestoreUserUseCase\add_post_to_user.dart", "Dart", 0, -14, 0, 0, 0, 0, 0, 0, 0, -4, -18
