"filename", "language", "YAML", "Markdown", "Dart", "JSON", "C++", "XML", "HTML", "Swift", "Groovy", "Properties", "CMake", "comment", "blank", "total"
"d:\updated_instagram_day_4_6\instagram\.github\workflows\ci.yml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 57
"d:\updated_instagram_day_4_6\instagram\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 23
"d:\updated_instagram_day_4_6\instagram\.github\workflows\releases.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 37
"d:\updated_instagram_day_4_6\instagram\README.md", "Markdown", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\updated_instagram_day_4_6\instagram\analysis_options.yaml", "YAML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 4, 35
"d:\updated_instagram_day_4_6\instagram\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 58, 0, 0, 3, 15, 76
"d:\updated_instagram_day_4_6\instagram\android\app\google-services.json", "JSON", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 40
"d:\updated_instagram_day_4_6\instagram\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 6, 3, 51
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\updated_instagram_day_4_6\instagram\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"d:\updated_instagram_day_4_6\instagram\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 1, 8
"d:\updated_instagram_day_4_6\instagram\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 6, 32
"d:\updated_instagram_day_4_6\instagram\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\updated_instagram_day_4_6\instagram\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\updated_instagram_day_4_6\instagram\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 4, 12
"d:\updated_instagram_day_4_6\instagram\assets\3d_caractars\gif\business-investor-gaining-profit-from-investment.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\activity.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\add-instagram-story.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\add.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\archive.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\birthday-cake.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\cancel.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\cancel_blod.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\check-circle.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\close_friends.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\comment.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\gallery.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\gallery_blod.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\grid.svg", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\updated_instagram_day_4_6\instagram\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\house_black.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\house_white.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\instagram-highlight-story.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\link.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\live-streaming.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\logo_instagram.svg", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\updated_instagram_day_4_6\instagram\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\menu_horizontal.svg", "XML", 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"d:\updated_instagram_day_4_6\instagram\assets\icons\microphone.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\microphone_black.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\minus.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper-plane-right.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\paper_plane_right_blod.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\phone_blod.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code1.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\qr-code2.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\save.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\updated_instagram_day_4_6\instagram\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
