Date : 2022-08-01 10:06:51
Directory : d:\flutter-clean-architecture-instagram
Total : 701 files,  6805 codes, 1165 comments, 950 blanks, all 8920 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        487 |      6,417 |      1,117 |        907 |      8,441 |
| CMake      |          5 |        156 |         30 |         34 |        220 |
| HTML       |          5 |        142 |         -6 |          7 |        143 |
| Markdown   |         12 |         31 |          0 |          9 |         40 |
| JSON       |         14 |         27 |          4 |          1 |         32 |
| XML        |        134 |         17 |          0 |          0 |         17 |
| C++        |         22 |          6 |          0 |          0 |          6 |
| YAML       |         10 |          5 |         20 |         -6 |         19 |
| Groovy     |          6 |          4 |          0 |         -2 |          2 |
| Swift      |          2 |          0 |          0 |          0 |          0 |
| Properties |          4 |          0 |          0 |          0 |          0 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                            |        384 |     25,704 |      2,010 |      3,176 |     30,890 |
| .github                                                                                                                                                                      |          3 |         97 |         34 |         12 |        143 |
| .github\workflows                                                                                                                                                            |          3 |         97 |         34 |         12 |        143 |
| android                                                                                                                                                                      |         14 |        198 |         49 |         37 |        284 |
| android\app                                                                                                                                                                  |         10 |        156 |         48 |         25 |        229 |
| android\app\src                                                                                                                                                              |          9 |         91 |         44 |         12 |        147 |
| android\app\src\debug                                                                                                                                                        |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                                                         |          7 |         83 |         38 |         10 |        131 |
| android\app\src\main\res                                                                                                                                                     |          6 |         35 |         32 |          7 |         74 |
| android\app\src\main\res\drawable                                                                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                                                                                   |          1 |          5 |          0 |          1 |          6 |
| android\app\src\main\res\values                                                                                                                                              |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                                                      |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                                               |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                                                       |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                                                       |         60 |        314 |          0 |          1 |        315 |
| assets\icons                                                                                                                                                                 |         57 |         65 |          0 |          1 |         66 |
| assets\splash                                                                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| assets\translations                                                                                                                                                          |          2 |        248 |          0 |          0 |        248 |
| c:\                                                                                                                                                                          |        317 |    -18,899 |       -845 |     -2,226 |    -21,970 |
| c:\Users                                                                                                                                                                     |        317 |    -18,899 |       -845 |     -2,226 |    -21,970 |
| c:\Users\ahmed                                                                                                                                                               |        317 |    -18,899 |       -845 |     -2,226 |    -21,970 |
| c:\Users\ahmed\OneDrive                                                                                                                                                      |        317 |    -18,899 |       -845 |     -2,226 |    -21,970 |
| c:\Users\ahmed\OneDrive\Desktop                                                                                                                                              |        317 |    -18,899 |       -845 |     -2,226 |    -21,970 |
| c:\Users\ahmed\OneDrive\Desktop\flutter-clean-architecture-instagram-3                                                                                                       |        317 |    -18,899 |       -845 |     -2,226 |    -21,970 |
| c:\Users\ahmed\OneDrive\Desktop\flutter-clean-architecture-instagram-3\.github                                                                                               |          3 |        -87 |        -16 |        -14 |       -117 |
| c:\Users\ahmed\OneDrive\Desktop\flutter-clean-architecture-instagram-3\.github\workflows                                                                                     |          3 |        -87 |        -16 |        -14 |       -117 |
| c:\Users\ahmed\OneDrive\Desktop\flutter-clean-architecture-instagram-3\android                                                                                               |         15 |       -228 |        -49 |        -39 |       -316 |
| c:\Users\ahmed\OneDrive\Desktop\flutter-clean-architecture-instagram-3\android\app                                                                                           |         11 |       -186 |        -48 |        -27 |       -261 |
