Date : 2022-08-01 10:06:51
Directory : d:\flutter-clean-architecture-instagram
Total : 384 files,  25704 codes, 2010 comments, 3176 blanks, all 30890 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |        272 |     23,755 |      1,715 |      2,860 |     28,330 |
| JSON       |          7 |        456 |          4 |          4 |        464 |
| C++        |         11 |        411 |         80 |        132 |        623 |
| XML        |         69 |        225 |         46 |         15 |        286 |
| HTML       |          4 |        222 |         12 |         14 |        248 |
| YAML       |          5 |        186 |        118 |         31 |        335 |
| CMake      |          4 |        174 |         30 |         40 |        244 |
| Markdown   |          6 |        156 |          0 |         53 |        209 |
| Groovy     |          3 |         99 |          4 |         23 |        126 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          8 |          1 |          2 |         11 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |        384 |     25,704 |      2,010 |      3,176 |     30,890 |
| .github                                                                                                                                       |          3 |         97 |         34 |         12 |        143 |
| .github\workflows                                                                                                                             |          3 |         97 |         34 |         12 |        143 |
| android                                                                                                                                       |         14 |        198 |         49 |         37 |        284 |
| android\app                                                                                                                                   |         10 |        156 |         48 |         25 |        229 |
| android\app\src                                                                                                                               |          9 |         91 |         44 |         12 |        147 |
| android\app\src\debug                                                                                                                         |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                                                          |          7 |         83 |         38 |         10 |        131 |
| android\app\src\main\res                                                                                                                      |          6 |         35 |         32 |          7 |         74 |
| android\app\src\main\res\drawable                                                                                                             |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                                                         |          1 |          4 |          7 |          2 |         13 |
| android\app\src\main\res\mipmap-anydpi-v26                                                                                                    |          1 |          5 |          0 |          1 |          6 |
| android\app\src\main\res\values                                                                                                               |          2 |         13 |          9 |          1 |         23 |
| android\app\src\main\res\values-night                                                                                                         |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                                                       |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                                                |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                                                        |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                                                        |         60 |        314 |          0 |          1 |        315 |
| assets\icons                                                                                                                                  |         57 |         65 |          0 |          1 |         66 |
| assets\splash                                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| assets\translations                                                                                                                           |          2 |        248 |          0 |          0 |        248 |
| ios                                                                                                                                           |          8 |        250 |          2 |         10 |        262 |
| ios\Runner                                                                                                                                    |          8 |        250 |          2 |         10 |        262 |
| ios\Runner\Assets.xcassets                                                                                                                    |          4 |        169 |          0 |          5 |        174 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                                                 |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchBackground.imageset                                                                                          |          1 |         21 |          0 |          1 |         22 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                                               |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                                                         |          2 |         68 |          2 |          2 |         72 |
| lib                                                                                                                                           |        275 |     23,748 |      1,705 |      2,854 |     28,307 |
| lib\config                                                                                                                                    |          4 |        165 |          2 |         21 |        188 |
| lib\config\routes                                                                                                                             |          2 |         57 |          2 |         13 |         72 |
| lib\config\routes\customRoutes                                                                                                                |          1 |         32 |          0 |         11 |         43 |
| lib\config\themes                                                                                                                             |          2 |        108 |          0 |          8 |        116 |
| lib\core                                                                                                                                      |         18 |        772 |         52 |        155 |        979 |
| lib\core\functions                                                                                                                            |          5 |        159 |          0 |         22 |        181 |
| lib\core\resources                                                                                                                            |          6 |        292 |          0 |         66 |        358 |
| lib\core\use_case                                                                                                                             |          1 |         20 |          0 |          5 |         25 |
| lib\core\utility                                                                                                                              |          3 |        243 |         52 |         51 |        346 |
| lib\core\widgets                                                                                                                              |          1 |         23 |          0 |          2 |         25 |
| lib\data                                                                                                                                      |         25 |      1,604 |          7 |        194 |      1,805 |
| lib\data\datasourses                                                                                                                          |          9 |        649 |          2 |         98 |        749 |
| lib\data\datasourses\remote                                                                                                                   |          9 |        649 |          2 |         98 |        749 |
