"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\lib\core\utility\define_function.dart", "Dart", 0, -1, -1, -1, -3
"d:\flutter-clean-architecture-instagram\lib\core\utility\injector.dart", "Dart", 0, -2, -1, 0, -3
"d:\flutter-clean-architecture-instagram\lib\presentation\cubit\firestoreUserInfoCubit\user_info_cubit.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\customPackages\audio_recorder\sound_recorder_notifier.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\customPackages\crop_image\cropper.dart", "Dart", 0, -204, 203, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\customPackages\sliding_sheet\specs.dart", "Dart", 0, 0, 3, 0, 3
"d:\flutter-clean-architecture-instagram\lib\presentation\customPackages\story_view\story_view.dart", "Dart", 0, -2, 0, 0, -2
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\activity\activity_for_web.dart", "Dart", 0, -3, 0, 0, -3
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\messages\messages_for_web.dart", "Dart", 0, 0, 1, 0, 1
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\profile\custom_gallery_page\gallery_of_story.dart", "Dart", 0, -4, 0, 0, -4
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\story\story_page_for_mobile.dart", "Dart", 0, 342, 0, 26, 368
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\story\stroy_page_for_mobile.dart", "Dart", 0, -342, 0, -26, -368
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\time_line\all_user_time_line\all_users_time_line.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\time_line\all_user_time_line\search_about_user.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\time_line\my_own_time_line\home_page.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\time_line\my_own_time_line\update_post_info.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\video\play_this_video.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\pages\video\videos_page.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\comments_w\commentator.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\messages_w\list_of_messages.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\profile_w\custom_videos_grid_view.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\profile_w\profile_grid_view.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\profile_w\profile_page.dart", "Dart", 0, -2, 0, 0, -2
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\profile_w\show_me_the_users.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\story_w\story_swipe.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\belong_to\time_line_w\image_of_post_for_time_line.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\global\aimation\fade_animation.dart", "Dart", 0, -3, 0, 0, -3
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\global\circle_avatar_image\circle_avatar_of_profile_image.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\global\custom_widgets\custom_gallery_display.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\global\others\count_of_likes.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\presentation\widgets\global\others\notification_card_info.dart", "Dart", 0, -1, 0, 0, -1
"d:\flutter-clean-architecture-instagram\lib\snapping.dart", "Dart", 0, 1, 1, 0, 2
"d:\flutter-clean-architecture-instagram\pubspec.yaml", "YAML", -1, 0, 1, 0, 0
"Total", "-", -1, -239, 207, -1, -34
