"filename", "language", "C++", "CMake", "JSON", "Dart", "YAML", "HTML", "Markdown", "XML", "Swift", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter-clean-architecture-instagram\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 26, 9, 83
"d:\flutter-clean-architecture-instagram\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 1, 24
"d:\flutter-clean-architecture-instagram\.github\workflows\releases.yml", "YAML", 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 6, 2, 36
"d:\flutter-clean-architecture-instagram\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 148, 0, 0, 0, 0, 0, 51, 199
"d:\flutter-clean-architecture-instagram\analysis_options.yaml", "YAML", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 25, 4, 35
"d:\flutter-clean-architecture-instagram\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 0, 4, 13, 82
"d:\flutter-clean-architecture-instagram\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\flutter-clean-architecture-instagram\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 0, 6, 3, 57
"d:\flutter-clean-architecture-instagram\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\flutter-clean-architecture-instagram\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 7, 2, 13
"d:\flutter-clean-architecture-instagram\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"d:\flutter-clean-architecture-instagram\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\flutter-clean-architecture-instagram\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4
"d:\flutter-clean-architecture-instagram\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 9, 1, 19
"d:\flutter-clean-architecture-instagram\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 1, 8
"d:\flutter-clean-architecture-instagram\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 0, 6, 32
"d:\flutter-clean-architecture-instagram\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"d:\flutter-clean-architecture-instagram\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"d:\flutter-clean-architecture-instagram\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\flutter-clean-architecture-instagram\assets\icons\activity.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\add-2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\add-instagram-story.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\add.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\archive.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\birthday-cake.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\cancel.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\cancel_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\check-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\close_friends.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\comment.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\compass.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\favorite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\flip.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\gallery.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\gallery_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\grid.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"d:\flutter-clean-architecture-instagram\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\house_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\house_white.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\instagram-highlight-story.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\link.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\live-streaming.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\logo_instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\flutter-clean-architecture-instagram\assets\icons\menu.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\menu_h.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\menu_horizontal.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 2
"d:\flutter-clean-architecture-instagram\assets\icons\messenger.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\microphone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\microphone_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\minus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\paper-plane-right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\paper_plane_right.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\paper_plane_right_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\phone.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\phone_blod.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\plus.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\profile.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\qr-code1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\qr-code2.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\save.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\search.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\send.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\settings.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\share-circle.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\share.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\flutter-clean-architecture-instagram\assets\icons\shop_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
