"filename", "language", "YAML", "Swift", "C++", "Markdown", "XML", "JSON", "Dart", "Properties", "Groovy", "HTML", "comment", "blank", "total"
"d:\agiaann\flutter-clean-architecture-instagram-1\.github\workflows\ci.yml", "YAML", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 59
"d:\agiaann\flutter-clean-architecture-instagram-1\.github\workflows\firebase-hosting-merge.yml", "YAML", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 28
"d:\agiaann\flutter-clean-architecture-instagram-1\.github\workflows\firebase-hosting-pull-request.yml", "YAML", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 24
"d:\agiaann\flutter-clean-architecture-instagram-1\.github\workflows\pull-request-ci.yml", "YAML", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17
"d:\agiaann\flutter-clean-architecture-instagram-1\.github\workflows\releases.yml", "YAML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 36
"d:\agiaann\flutter-clean-architecture-instagram-1\README.md", "Markdown", 0, 0, 0, 158, 0, 0, 0, 0, 0, 0, 0, 57, 215
"d:\agiaann\flutter-clean-architecture-instagram-1\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 7, 16, 97
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 7, 5, 68
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7, 2, 13
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 2, 13
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\raw\keep.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 4
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 9, 1, 19
"d:\agiaann\flutter-clean-architecture-instagram-1\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 4, 1, 9
"d:\agiaann\flutter-clean-architecture-instagram-1\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"d:\agiaann\flutter-clean-architecture-instagram-1\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"d:\agiaann\flutter-clean-architecture-instagram-1\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\agiaann\flutter-clean-architecture-instagram-1\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\activity.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\add-2.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\add-instagram-story.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\add.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\archive.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\birthday-cake.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\calendar.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\cancel.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\cancel_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\check-circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\circle.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\close_friends.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\comment.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\compass.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\favorite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\flip.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\gallery.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\gallery_blod.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\grid.svg", "XML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\heart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\house_black.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\agiaann\flutter-clean-architecture-instagram-1\assets\icons\house_white.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
